id;numero;date_emission;date_paiement;volume_m_3;montant_base_ht;montant_supplements_ht;montant_ht;taux_tva;montant_tva;montant_ttc;devise;taux_change_cfa;statut;notes;chemin_pdf;cree_par_login;navire_id;client_id
1;au-dessous de mal tandis que;2026-03-17;2026-03-17;19110.65;24503.71;25409.87;26288.67;80;13313.83;15894.95;EUR;12353.98;VALIDEE;ha suggérer;comme sombre;corps enseignant;1;1
2;arracher;2026-03-17;2026-03-17;20568.79;25404.82;23581.68;25978.94;54.77;23078.04;15739.88;EUR;4083.62;VALIDEE;à la faveur de;retomber tant;tant;2;2
3;toc-toc;2026-03-17;2026-03-18;18449.7;10220.88;241.91;15884.21;49.67;10371.12;12269.02;EUR;1342.08;VALIDEE;nourrir conseil d’administration dans;pour que;vroum discerner du côté de;3;3
4;au cas où trancher;2026-03-17;2026-03-18;16519.18;16650.47;18981.94;4689.65;62.3;21481.4;29436.23;EUR;28584.83;PAYEE;vroum tarder sitôt que;personnel;être chef indiquer;4;4
5;ferme;2026-03-18;2026-03-17;590.61;14603.07;32003.21;30203.27;19.59;24156.81;29741.09;XOF;15889.46;PAYEE;afin que;neutre extra drelin;excuser complètement heurter;5;5
6;entièrement actionnaire proche de;2026-03-17;2026-03-18;21775.38;28181.61;11542.61;3173.49;32.9;20450.14;31410.99;XOF;26738.92;IMPAYEE;secouriste solitaire antagoniste;promener délectable ouah;user quelque grandement;6;6
7;aujourd'hui;2026-03-17;2026-03-17;1103.48;4951.46;1259.62;11895.52;15.7;4721.85;1558.61;EUR;20537.52;IMPAYEE;tantôt peu;encore freiner;autrefois sombre;7;7
8;dans la mesure où mal à partir de;2026-03-18;2026-03-17;8626.06;17000.97;9797.96;15490.63;8.87;721.83;15978.5;XOF;25594.06;BROUILLON;à côté de remplacer tchou tchouu;que;parfois;8;8
9;quelquefois dès que drelin;2026-03-17;2026-03-17;1396.26;11580.39;28938.44;6245.19;89.47;14699.62;20797.76;XOF;1648.78;BROUILLON;lécher spécialiste;quelquefois impromptu;avant;9;9
10;pour;2026-03-17;2026-03-17;19286.95;19035.13;8493.16;4864.89;63.74;15401.59;13159.29;EUR;19837.99;IMPAYEE;mince au-delà également;jeune afin que apprivoiser;lentement avant;10;10
