id;ancienne_valeur;nouvelle_valeur;date_modification;commentaire;modifie_par_login;tarif_id
1;14737.62;10219.05;2026-03-18T04:45:25;ouin après-demain infiniment;délégation tellement pendant que;1
2;4541.9;13485.61;2026-03-17T20:53:06;admirablement mélancolique du côté de;soupçonner maigre;2
3;9465.14;20319.31;2026-03-17T10:35:49;conseil d’administration;paf;3
4;26711.81;10924.6;2026-03-17T10:56:46;cyan ainsi;fade diététiste;4
5;24760.49;32371.31;2026-03-17T15:42:54;pourvoir;pschitt;5
6;12991.51;18094.39;2026-03-18T05:15:45;cadre communauté étudiante toc;tout à fait;6
7;18677.2;25807.76;2026-03-17T20:15:10;tant que après que;aïe;7
8;21502.83;6385.12;2026-03-17T22:19:21;cocorico rectorat;si;8
9;22505.15;4213.83;2026-03-17T23:06:55;insolite;devant secouriste;9
10;17101.91;15336.13;2026-03-18T06:14:38;à côté de;antique;10
