id;type;poste_a;poste_b;duree;montant_calcule;libelle;facture_id
1;DEPLACEMENT_UNITAIRE;à travers redouter;quasi personnel professionnel;26270.14;1479.04;accrocher orange;1
2;DEPLACEMENT_UNITAIRE;tellement;auprès de pas mal;29374.85;30147.78;pacifique considérable diététiste;2
3;AMARRAGE;adorable;dessus tranquille cot cot;26921.23;5956.71;concurrence comme;3
4;DEPLACEMENT_UNITAIRE;touriste;soumettre;18655.3;1230.76;aussi méditer afin de;4
5;LARGAGE;dessous apparemment;céans;18056.07;809.1;élargir sitôt que;5
6;SORTIE;moyennant;calme vide spécialiste;13641.93;29895.59;prévaloir tic-tac;6
7;AMARRAGE;du côté de;aux alentours de flatter tsoin-tsoin;7024.49;10135.83;en personnel splendide;7
8;AMARRAGE;spécialiste;pourvu que adresser tic-tac;29220.67;21490.01;quant à vraiment;8
9;MISE_A_DISPOSITION;exciter poser;à la faveur de;22826.3;23996.65;toc-toc vroum;9
10;LARGAGE;ranger;hirsute plutôt anéantir;7702.4;25256.01;malgré prestataire de services après que;10
