id;nom;numero_imo;jauge_brute;longueur;largeur;tirant;pavillon;actif;client_id
1;loin ouf;cocorico que;29435.74;19055.01;19312.26;563.44;tendre;false;1
2;tant que;vivace;12234.43;2110.76;20752.99;11588.7;quasiment rattraper;false;2
3;clientèle snif;biathlète;8702.84;22952.03;11816.68;5165.37;pendant que commis;true;3
4;persuader pas mal hors de;insipide cot cot;2577.14;397.67;16366.01;26123.67;pourvu que snif;true;4
5;quand dessus si;apparemment réunir p;10746.98;21356.18;30832.42;4663.58;rectorat;false;5
6;tic-tac;assez derrière;24142.19;12738.87;14144.13;18160.23;puisque pendant;true;6
7;émouvoir épanouir;vroum;8347.18;6641.08;904.74;26779.66;hé;false;7
8;entre-temps;témoigner;7781.37;27696.08;24328.97;9317.42;à l'insu de alors;true;8
9;jusqu’à ce que réserver annoncer;naguère aussitôt que;28682.52;21146.51;20059.14;10811.79;gratis détailler tchou tchouu;true;9
10;fourbe conseil d’administration déjà;pour que;18426.02;16355.12;14839.34;5443.9;évoluer;true;10
