id;code;nom;statut;observation
1;combattre parce que;au point que hebdomadaire;abandonner tant par;blablabla
2;de façon à ce que;priver plouf passablement;retentir hystérique charitable;davantage brave
3;à raison de probable;au-devant;renouveler en outre de;partenaire
4;hé pschitt;exprès;membre du personnel;multiple observer
5;circulaire lâche mag;au moyen de assez;sus;rappeler pauvre vroum
6;gémir afin de comme;dynamique mature;empêcher tsoin-tsoin;snob si bien que fonctionnaire
7;dring à partir de;analyser près arrière;vu que;vu que tant correspondre
8;étant donné que à dé;ouf jeune enfant;de manière à ce que fonctionnaire;paf
9;actionnaire moderne;psitt;assumer secours;grrr
10;ding agréable sus;smack;clientèle;afin que sur rester
