id;code;libelle;type;taux_pourcentage;montant_fixe;actif
1;pin-pon mé;bof spécialiste sans que;S7_DIMANCHE_FERIE;128.61;17150.04;false
2;disputer;presque commis vaste;S6_NUIT_18H_08H;189.22;9892.84;false
3;dessus;puis dans à l'encontre de;S4_DEPLACEMENT_INUTILE;108.15;378.61;true
4;drelin com;direction compenser secouriste;S7_DIMANCHE_FERIE;36.61;19707.56;false
5;prestatair;glouglou circulaire;S1_DUREE_SUP_2H;32.31;22381.98;true
6;du moment ;certes incarner user;S3_RADE_EXTERIEURE;123.51;13804.8;true
7;quelquefoi;hi compter;S3_RADE_EXTERIEURE;73.93;16918.49;false
8;oh;réparer;S1_DUREE_SUP_2H;106.21;9334.17;false
9;en decà de;sédentaire autrefois;S8_QUATRE_REMORQUEURS;55.67;14714.33;false
10;dès que;au cas où;S1_DUREE_SUP_2H;166.82;26278.08;true
