id;tranche_min;tranche_max;prix_euro;actif;date_debut;date_fin;description
1;30449.81;10542.18;16776.25;true;2026-03-18;2026-03-18;avoir a
2;8259.6;19635.63;18149.56;true;2026-03-17;2026-03-17;plouf de crainte que
3;6466.9;10647.17;25392.92;false;2026-03-18;2026-03-18;noter garder outre
4;5969.59;3292.9;30597.18;true;2026-03-17;2026-03-18;où à condition que en
5;17627.83;10439.14;2847.35;false;2026-03-18;2026-03-17;loin de collègue d’autant que
6;19093.76;2824.49;17509.82;true;2026-03-17;2026-03-17;envisager à force de
7;9270.12;11275.26;23680.93;true;2026-03-17;2026-03-17;hebdomadaire commissionnaire
8;456.44;6097.62;27508.47;false;2026-03-17;2026-03-17;vite lunatique hypocrite
9;18910.01;2854.61;1652.78;true;2026-03-18;2026-03-18;timide malgré au défaut de
10;30162.37;27539.71;2877.34;false;2026-03-18;2026-03-18;toc admirablement à seule fin de
